customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUS00025,Female,0,No,No,39,Yes,No,Fiber optic,Yes,Yes,No,One year,No,Mailed check,96.71,3764.69,No
CUS00026,Female,0,No,No,43,Yes,No,DSL,No,No,No,Month-to-month,Yes,Mailed check,111.0,4769.51,Yes
CUS00027,Female,0,No,Yes,58,Yes,No,Fiber optic,Yes,Yes,No,Two year,No,Electronic check,39.68,2298.77,No
CUS00028,Female,0,No,No,24,Yes,Yes,Fiber optic,Yes,No,No,Month-to-month,No,Bank transfer (automatic),71.41,1707.08,Yes
CUS00029,Female,0,No,Yes,70,Yes,No,Fiber optic,No,Yes,Yes,Two year,Yes,Mailed check,92.93,6507.8,No
CUS00030,Female,0,No,No,52,Yes,Yes,Fiber optic,No,No,Yes,Two year,No,Credit card (automatic),51.16,2651.49,No
CUS00031,Male,0,Yes,No,47,Yes,No,DSL,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),32.69,1534.52,No
CUS00032,Male,0,Yes,Yes,70,Yes,No,Fiber optic,No,Yes,Yes,Month-to-month,Yes,Mailed check,57.22,4008.71,Yes
CUS00033,Female,0,No,No,52,Yes,No,Fiber optic,No,No,Yes,Two year,No,Credit card (automatic),63.66,3315.98,Yes
CUS00034,Female,0,Yes,Yes,48,Yes,No,DSL,No,Yes,Yes,Two year,Yes,Credit card (automatic),92.22,4423.69,Yes
CUS00035,Female,0,No,No,42,No,No phone service,Fiber optic,Yes,No,Yes,One year,Yes,Mailed check,37.87,1595.61,No
CUS00036,Male,0,Yes,No,18,Yes,Yes,Fiber optic,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.51,1789.34,No
CUS00037,Female,1,No,No,65,Yes,Yes,Fiber optic,No,No,Yes,Two year,Yes,Bank transfer (automatic),68.22,4445.58,No
CUS00038,Male,0,Yes,No,33,No,No phone service,DSL,Yes,No,Yes,One year,Yes,Electronic check,108.39,3569.57,No
CUS00039,Male,1,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,One year,Yes,Electronic check,74.58,5364.73,No
CUS00040,Male,0,Yes,No,53,Yes,Yes,No,No internet service,No internet service,No internet service,One year,Yes,Mailed check,62.69,3323.38,No
CUS00041,Male,0,Yes,No,0,Yes,No,Fiber optic,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),46.68,,No
CUS00042,Male,0,No,Yes,54,Yes,No,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Mailed check,28.62,1541.94,No
CUS00043,Female,0,No,No,14,No,No phone service,Fiber optic,No,Yes,No,One year,Yes,Electronic check,55.17,774.64,No
CUS00044,Female,0,Yes,Yes,14,No,No phone service,DSL,No,No,No,One year,Yes,Electronic check,59.36,832.0,No
CUS00045,Female,0,Yes,Yes,22,No,No phone service,Fiber optic,Yes,No,Yes,Month-to-month,No,Mailed check,74.83,1646.08,No
CUS00046,Female,0,No,No,65,No,No phone service,No,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,103.99,6759.23,No
CUS00047,Female,1,Yes,No,45,Yes,No,Fiber optic,No,No,No,One year,Yes,Bank transfer (automatic),64.38,2884.79,No
CUS00048,Male,0,No,No,8,Yes,No,DSL,No,Yes,No,Month-to-month,No,Mailed check,49.43,396.18,No
CUS00049,Female,0,Yes,No,65,Yes,No,DSL,Yes,Yes,No,Month-to-month,No,Mailed check,105.33,6843.27,No
CUS00050,Female,0,Yes,No,65,Yes,No,Fiber optic,No,Yes,Yes,Two year,No,Mailed check,91.39,5938.5,No
CUS00051,Male,0,No,No,17,Yes,Yes,DSL,No,Yes,No,Month-to-month,Yes,Mailed check,48.7,819.95,No
CUS00052,Female,0,No,Yes,16,Yes,No,Fiber optic,Yes,Yes,No,One year,Yes,Bank transfer (automatic),34.69,558.41,No
CUS00053,Male,0,No,No,71,No,No phone service,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,47.1,3346.86,Yes
CUS00054,Female,1,Yes,No,33,Yes,No,DSL,No,Yes,Yes,Month-to-month,No,Mailed check,30.36,996.06,No
CUS00055,Male,0,Yes,No,68,Yes,Yes,Fiber optic,Yes,Yes,No,Two year,No,Mailed check,108.34,7368.02,No
CUS00056,Female,0,Yes,No,63,Yes,No,Fiber optic,Yes,Yes,No,Month-to-month,No,Credit card (automatic),79.17,4995.94,Yes
CUS00057,Female,0,No,No,43,Yes,No,Fiber optic,Yes,Yes,Yes,Two year,Yes,Mailed check,104.35,4487.75,Yes
CUS00058,Male,0,Yes,No,28,Yes,No,DSL,Yes,Yes,Yes,Month-to-month,No,Mailed check,100.04,2791.05,No
CUS00059,Male,0,Yes,No,61,Yes,No,DSL,No,No,No,One year,No,Credit card (automatic),33.32,2029.67,Yes
CUS00060,Male,0,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),62.3,935.13,No
CUS00061,Male,0,Yes,No,51,Yes,Yes,Fiber optic,No,Yes,No,Two year,No,Electronic check,115.21,5886.29,No
CUS00062,Male,0,Yes,Yes,1,Yes,No,Fiber optic,Yes,Yes,No,Two year,No,Bank transfer (automatic),41.38,35.33,No
CUS00063,Male,0,No,Yes,60,Yes,No,DSL,Yes,No,Yes,One year,Yes,Mailed check,23.02,1380.46,No
CUS00064,Male,0,No,Yes,3,Yes,No,DSL,Yes,Yes,No,Month-to-month,No,Mailed check,52.6,152.46,No
CUS00065,Male,0,No,No,51,Yes,No,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),69.09,3527.99,Yes
CUS00066,Female,0,No,No,40,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.59,941.77,Yes
CUS00067,Female,0,No,No,51,No,No phone service,No,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),60.67,3080.51,No
CUS00068,Male,1,No,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),43.34,1298.23,No
CUS00069,Female,1,No,No,25,No,No phone service,DSL,Yes,No,No,Month-to-month,No,Electronic check,39.21,979.69,No
CUS00070,Female,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,One year,Yes,Electronic check,44.39,1156.08,No
CUS00071,Female,0,No,No,50,No,No phone service,No,No internet service,No internet service,No internet service,One year,Yes,Electronic check,28.54,1427.91,No
CUS00072,Female,0,Yes,No,47,Yes,Yes,DSL,No,No,No,Two year,Yes,Electronic check,25.66,1209.31,No
CUS00073,Male,0,No,No,10,Yes,No,Fiber optic,No,No,No,Two year,Yes,Bank transfer (automatic),77.58,775.18,No
CUS00074,Female,1,No,Yes,7,Yes,No,Fiber optic,No,No,Yes,Two year,No,Mailed check,112.78,789.88,Yes
CUS00075,Male,0,Yes,Yes,11,Yes,No,DSL,Yes,Yes,No,One year,No,Bank transfer (automatic),98.47,1083.23,No
CUS00076,Female,1,No,Yes,44,Yes,No,Fiber optic,Yes,No,No,Month-to-month,No,Mailed check,101.39,4459.08,No
CUS00077,Female,1,Yes,No,33,Yes,No,No,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,91.51,3022.67,No
CUS00078,Female,0,Yes,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),113.6,8069.83,No
CUS00079,Male,0,No,No,46,Yes,No,No,No internet service,No internet service,No internet service,One year,No,Mailed check,113.06,5200.54,No
CUS00080,Female,0,Yes,No,20,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Yes,Mailed check,95.83,1914.14,No
CUS00081,Male,1,No,No,40,Yes,No,Fiber optic,No,No,No,Month-to-month,Yes,Credit card (automatic),89.59,3578.19,Yes
CUS00082,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,One year,Yes,Bank transfer (automatic),48.53,1020.9,No
CUS00083,Male,1,Yes,Yes,20,Yes,No,Fiber optic,Yes,Yes,No,One year,Yes,Electronic check,27.12,537.38,No
CUS00084,Female,0,Yes,No,27,Yes,No,DSL,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),27.29,737.63,No
CUS00085,Male,0,Yes,No,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,No,Mailed check,91.63,6048.24,No
CUS00086,Male,1,No,Yes,70,Yes,Yes,DSL,No,Yes,Yes,Month-to-month,Yes,Mailed check,20.84,1464.14,No
CUS00087,Female,0,No,No,13,Yes,Yes,DSL,No,No,No,One year,Yes,Mailed check,99.64,1302.26,No
CUS00088,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,No,No,One year,Yes,Bank transfer (automatic),54.65,3919.61,No
CUS00089,Female,0,No,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),37.21,1896.7,No
CUS00090,Female,0,No,No,42,Yes,No,DSL,Yes,No,Yes,Month-to-month,No,Credit card (automatic),58.76,2457.42,No
CUS00091,Female,0,Yes,No,70,Yes,No,Fiber optic,No,No,No,Two year,No,Bank transfer (automatic),88.33,6188.91,Yes
CUS00092,Female,0,Yes,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,No,Electronic check,45.51,819.06,No
CUS00093,Female,1,Yes,Yes,26,Yes,No,Fiber optic,Yes,No,No,Two year,Yes,Mailed check,35.36,925.12,No
CUS00094,Female,1,Yes,Yes,17,Yes,No,DSL,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),91.79,1561.72,Yes
CUS00095,Female,0,Yes,Yes,12,Yes,No,Fiber optic,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),106.07,1266.09,No
CUS00096,Female,0,Yes,No,0,Yes,Yes,DSL,Yes,No,No,Two year,No,Bank transfer (automatic),76.55,,No
CUS00097,Female,0,Yes,No,33,Yes,Yes,DSL,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),70.39,2322.2,No
CUS00098,Female,0,Yes,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),93.49,1124.73,No
CUS00099,Female,1,Yes,No,50,Yes,Yes,DSL,No,Yes,No,One year,Yes,Bank transfer (automatic),91.26,4563.28,No
CUS00100,Male,0,Yes,No,0,No,No phone service,Fiber optic,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),18.63,,Yes
CUS00101,Male,0,No,No,27,Yes,No,Fiber optic,No,Yes,No,One year,Yes,Electronic check,46.18,1245.07,No
CUS00102,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,One year,No,Bank transfer (automatic),111.2,3452.85,No
CUS00103,Female,0,Yes,Yes,71,Yes,No,Fiber optic,Yes,Yes,Yes,Two year,No,Credit card (automatic),114.02,8096.15,No
CUS00104,Female,0,No,No,54,Yes,No,DSL,Yes,No,No,Month-to-month,No,Electronic check,69.03,3727.86,No
CUS00105,Female,0,No,No,25,Yes,No,Fiber optic,No,Yes,No,Month-to-month,Yes,Electronic check,74.01,1851.73,Yes
CUS00106,Female,0,No,Yes,13,Yes,Yes,Fiber optic,No,Yes,No,One year,No,Credit card (automatic),18.07,232.83,No
CUS00107,Female,0,No,No,67,Yes,No,DSL,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,85.23,5708.66,No
CUS00108,Female,0,No,No,62,Yes,No,Fiber optic,No,Yes,Yes,One year,Yes,Mailed check,39.24,2435.29,Yes
CUS00109,Female,0,No,Yes,13,Yes,No,DSL,No,No,Yes,Two year,Yes,Electronic check,30.79,404.15,No
CUS00110,Male,0,Yes,Yes,26,Yes,No,Fiber optic,No,Yes,Yes,Month-to-month,No,Electronic check,48.47,1264.62,No
CUS00111,Female,0,Yes,Yes,40,Yes,No,Fiber optic,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),84.49,3378.62,Yes
CUS00112,Male,0,No,No,2,Yes,Yes,Fiber optic,Yes,No,Yes,Month-to-month,No,Electronic check,61.63,123.88,No
CUS00113,Female,0,No,No,58,Yes,No,No,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),52.91,3065.75,No
CUS00114,Female,0,Yes,No,22,Yes,No,Fiber optic,Yes,No,Yes,Two year,No,Bank transfer (automatic),90.68,1998.89,No
CUS00115,Male,0,No,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,One year,Yes,Mailed check,99.37,1684.57,No
CUS00116,Female,1,No,No,40,Yes,Yes,DSL,No,No,No,Month-to-month,Yes,Electronic check,104.92,4197.91,No
CUS00117,Male,1,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),62.48,441.75,No
CUS00118,Female,0,No,No,31,Yes,No,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Electronic check,89.78,2783.81,Yes
CUS00119,Female,1,No,No,40,Yes,Yes,Fiber optic,No,No,Yes,Month-to-month,No,Bank transfer (automatic),106.52,4262.3,No
CUS00120,Male,0,Yes,No,44,No,No phone service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,108.89,4789.8,No
CUS00121,Female,0,Yes,No,8,No,No phone service,Fiber optic,Yes,No,No,Month-to-month,No,Bank transfer (automatic),67.21,528.41,No
CUS00122,Male,0,No,No,47,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,53.53,2512.54,No
CUS00123,Female,0,Yes,No,23,Yes,Yes,Fiber optic,No,No,No,Two year,No,Credit card (automatic),108.02,2484.68,No
CUS00124,Male,0,No,Yes,43,Yes,No,Fiber optic,No,Yes,No,Two year,No,Mailed check,44.14,1894.57,No
CUS00125,Male,0,No,Yes,57,Yes,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Mailed check,97.68,5570.19,No
CUS00126,Female,0,No,No,65,Yes,Yes,DSL,No,Yes,Yes,Month-to-month,No,Mailed check,108.87,7069.23,No
CUS00127,Female,0,No,Yes,17,Yes,No,Fiber optic,Yes,No,Yes,Two year,Yes,Credit card (automatic),91.97,1553.8,No
CUS00128,Male,0,No,No,28,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,No,Mailed check,85.99,2411.2,No
CUS00129,Female,1,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,One year,No,Electronic check,23.07,21.51,No
CUS00130,Female,0,No,Yes,67,Yes,No,Fiber optic,No,No,No,Month-to-month,Yes,Electronic check,38.35,2571.18,No
CUS00131,Female,0,No,Yes,38,Yes,No,Fiber optic,Yes,No,No,Month-to-month,Yes,Credit card (automatic),84.66,3214.47,Yes
CUS00132,Male,0,No,Yes,72,Yes,No,Fiber optic,Yes,No,No,Two year,Yes,Credit card (automatic),96.52,6952.26,No
CUS00133,Male,0,Yes,Yes,40,Yes,No,DSL,No,No,Yes,Two year,No,Credit card (automatic),24.34,980.39,No
CUS00134,Male,0,No,No,70,Yes,No,DSL,Yes,No,No,One year,Yes,Bank transfer (automatic),19.91,1400.84,No
CUS00135,Male,0,Yes,No,21,Yes,No,DSL,Yes,Yes,Yes,Two year,Yes,Mailed check,49.15,1028.91,No
CUS00136,Male,0,Yes,No,48,Yes,No,Fiber optic,No,Yes,No,Month-to-month,Yes,Mailed check,82.5,3957.89,Yes
CUS00137,Male,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),69.2,1869.25,Yes
CUS00138,Male,0,Yes,No,15,Yes,No,DSL,Yes,No,No,Month-to-month,No,Credit card (automatic),18.84,291.95,No
CUS00139,Male,0,No,No,67,Yes,No,DSL,No,No,Yes,Month-to-month,Yes,Electronic check,33.16,2215.96,No
CUS00140,Male,0,No,No,61,Yes,No,DSL,No,No,No,Two year,Yes,Electronic check,93.22,5680.69,No
CUS00141,Female,0,No,No,35,No,No phone service,DSL,Yes,No,Yes,Two year,No,Mailed check,47.77,1676.29,No
CUS00142,Male,0,No,Yes,21,Yes,No,Fiber optic,No,Yes,Yes,Month-to-month,No,Electronic check,29.72,620.79,No
CUS00143,Female,0,Yes,Yes,10,Yes,No,DSL,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,23.09,234.2,No
CUS00144,Female,1,Yes,Yes,41,Yes,Yes,DSL,Yes,Yes,No,Month-to-month,No,Mailed check,103.04,4221.71,No
CUS00145,Female,1,No,Yes,54,No,No phone service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),65.17,3520.94,No
CUS00146,Male,1,Yes,No,72,Yes,No,DSL,Yes,No,No,Two year,Yes,Credit card (automatic),68.37,4920.09,No
CUS00147,Male,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.13,815.4,No
CUS00148,Male,0,Yes,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,One year,No,Credit card (automatic),66.86,3744.89,No
CUS00149,Male,0,No,No,33,Yes,Yes,DSL,No,No,No,Month-to-month,Yes,Credit card (automatic),82.58,2719.08,No
CUS00150,Female,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,One year,No,Mailed check,30.28,2182.44,No
CUS00151,Male,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,No,Yes,Two year,No,Bank transfer (automatic),108.25,7468.08,No
CUS00152,Male,0,Yes,Yes,3,Yes,No,DSL,Yes,Yes,No,Month-to-month,No,Credit card (automatic),96.33,282.18,No
CUS00153,Male,1,No,No,45,Yes,No,DSL,No,Yes,Yes,Month-to-month,Yes,Mailed check,98.19,4420.05,Yes
CUS00154,Male,0,Yes,Yes,10,Yes,Yes,Fiber optic,No,Yes,Yes,One year,No,Bank transfer (automatic),71.65,717.89,No
CUS00155,Male,1,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,No,One year,No,Electronic check,51.39,3071.64,No
CUS00156,Female,0,No,No,34,Yes,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),82.05,2789.45,Yes
CUS00157,Male,0,Yes,No,68,Yes,No,DSL,No,Yes,No,Month-to-month,Yes,Mailed check,40.54,2756.77,No
CUS00158,Female,0,No,No,56,Yes,Yes,DSL,No,No,No,Month-to-month,Yes,Electronic check,31.69,1775.1,No
CUS00159,Male,0,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,No,Electronic check,71.83,709.21,No
CUS00160,Female,0,No,Yes,11,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),65.86,726.23,Yes
CUS00161,Male,0,No,Yes,42,No,No phone service,Fiber optic,Yes,Yes,Yes,Month-to-month,No,Mailed check,33.03,1389.83,No
CUS00162,Male,0,No,No,18,Yes,Yes,DSL,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),71.04,1274.03,No
CUS00163,Female,0,No,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,72.65,4860.55,No
CUS00164,Female,1,Yes,No,58,Yes,Yes,Fiber optic,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),105.15,6093.8,Yes
CUS00165,Female,0,No,Yes,1,No,No phone service,No,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),93.92,94.56,No
CUS00166,Male,1,Yes,No,7,Yes,No,DSL,No,No,No,Month-to-month,Yes,Mailed check,39.76,272.13,No
CUS00167,Female,0,Yes,No,21,Yes,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,No,Mailed check,99.79,2088.82,Yes
CUS00168,Male,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,114.9,2308.5,Yes
CUS00169,Male,0,Yes,No,28,Yes,Yes,DSL,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,89.66,2510.45,No
CUS00170,Female,0,Yes,No,36,No,No phone service,Fiber optic,Yes,No,No,Month-to-month,No,Bank transfer (automatic),96.7,3479.64,No
CUS00171,Female,0,Yes,Yes,28,Yes,No,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),44.64,1246.57,No
CUS00172,Male,0,No,No,36,Yes,No,DSL,Yes,No,Yes,Two year,No,Credit card (automatic),117.19,4216.72,No
CUS00173,Male,0,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,Yes,Month-to-month,No,Electronic check,35.64,721.81,Yes
CUS00174,Female,0,Yes,Yes,11,Yes,No,DSL,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.09,1028.07,No
CUS00175,Female,0,No,No,47,Yes,No,Fiber optic,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),57.52,2715.37,No
CUS00176,Female,0,Yes,No,46,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,53.69,2471.7,Yes
CUS00177,Male,0,Yes,No,14,No,No phone service,No,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),46.52,646.5,No
CUS00178,Male,0,Yes,No,66,Yes,No,No,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),62.11,4100.62,No
CUS00179,Male,0,No,No,12,Yes,Yes,Fiber optic,No,No,Yes,Month-to-month,No,Credit card (automatic),97.09,1167.82,No
CUS00180,Male,0,Yes,Yes,58,Yes,Yes,Fiber optic,Yes,No,No,One year,Yes,Bank transfer (automatic),112.1,6504.87,Yes
CUS00181,Male,0,Yes,No,72,No,No phone service,Fiber optic,No,No,No,One year,Yes,Bank transfer (automatic),59.62,4290.43,No
CUS00182,Male,0,No,Yes,12,Yes,No,DSL,Yes,No,No,Month-to-month,Yes,Credit card (automatic),83.17,1007.06,No
CUS00183,Female,0,No,No,71,Yes,No,DSL,Yes,Yes,No,Month-to-month,Yes,Electronic check,96.82,6867.87,Yes
CUS00184,Male,0,No,No,18,Yes,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),27.97,505.16,Yes
CUS00185,Male,0,Yes,No,56,Yes,No,DSL,Yes,Yes,No,Two year,Yes,Mailed check,114.05,6385.34,No
CUS00186,Male,0,No,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),39.16,1210.08,No
CUS00187,Female,1,No,Yes,20,No,No phone service,Fiber optic,Yes,Yes,No,Month-to-month,Yes,Electronic check,109.51,2191.44,Yes
CUS00188,Male,0,No,No,13,Yes,Yes,DSL,No,Yes,Yes,Month-to-month,No,Credit card (automatic),116.66,1522.86,No
CUS00189,Male,0,Yes,Yes,23,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,No,Bank transfer (automatic),28.04,646.94,No
CUS00190,Female,0,No,Yes,48,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,107.27,5150.33,No
CUS00191,Male,0,No,Yes,31,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,82.09,2534.69,No
CUS00192,Male,0,No,No,10,Yes,Yes,DSL,Yes,Yes,Yes,Two year,No,Credit card (automatic),99.79,1002.51,No
CUS00193,Male,0,No,No,59,Yes,No,Fiber optic,Yes,No,No,Month-to-month,No,Mailed check,28.91,1703.66,No
CUS00194,Male,0,No,No,67,No,No phone service,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),101.43,6798.48,No
CUS00195,Male,0,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),80.6,4840.6,Yes
CUS00196,Female,0,Yes,No,4,Yes,No,Fiber optic,Yes,No,Yes,Month-to-month,No,Credit card (automatic),69.06,277.2,No
CUS00197,Female,0,No,No,35,Yes,No,DSL,No,Yes,No,One year,Yes,Mailed check,74.0,2579.99,No
CUS00198,Female,1,No,No,63,Yes,No,Fiber optic,No,No,Yes,Two year,Yes,Credit card (automatic),92.45,5831.43,No
CUS00199,Male,0,No,No,31,Yes,No,DSL,Yes,No,No,Two year,Yes,Bank transfer (automatic),47.76,1489.59,No
CUS00200,Male,1,Yes,No,70,Yes,Yes,DSL,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),112.35,7868.57,No
CUS00201,Male,0,Yes,Yes,65,Yes,Yes,DSL,No,No,Yes,Month-to-month,Yes,Credit card (automatic),48.76,3165.77,Yes
CUS00202,Female,1,Yes,No,9,Yes,No,DSL,No,Yes,Yes,Two year,Yes,Electronic check,105.71,957.54,No
